2022,11,26,w,200.0,
2022,11,26,c,2500.0,
2022,11,26,f,Donut,200.00
2022,11,26,e,Gardening,120.00
2022,11,26,e,Gardening,20.00
2022,11,25,w,90.0,
2022,11,25,c,90.0,
2022,11,25,f,New recipe,2.00
2022,11,25,e,Gardening,30.00
2022,11,25,e,Gardening,8.00
2022,11,25,e,Lawn Mowing,9.00
2022,11,25,e,Gardening,94.00
2022,11,25,e,Gardening,90.00
2022,11,25,e,Gardening,8.00
2022,11,25,e,Gardening,90.00
2022,11,25,e,Lawn Mowing,10.00
2022,11,24,w,5000.0,
2022,11,24,c,2.0,
2022,11,11,w,250.0,
2022,11,11,c,2.0,
2022,11,08,w,5000.0,
2022,11,08,c,2.0,
2021,9,30,f,Yogurt (4oz),2.00
2021,9,30,f,PB+J Sandwich,1.00
2021,9,30,f,Yogurt (4oz),1.00
2021,9,30,e,Gardening,15.00
2021,9,29,w,200.5,
2021,9,29,c,2000.0,
2021,9,29,f,Yogurt (4oz),1.00
2021,9,29,f,Questionable Meal,1.00
2021,9,29,f,Yogurt (4oz),1.00
2001,2,07,w,150.0,
2001,2,07,c,57.0,
2001,2,07,e,Gardening,90.00
2022,11,27,w,145.0,
2022,11,27,c,2500.0,
2022,11,27,e,pushups,30.00
